Date (BS),Month Name,Province,District,Branch,Branch Manager,Branch Code,Telephone,Address,SIP Registered,Amount
2082.05.28,Bhadra 2083,Bagmati Pradesh,Bhaktapur,Kamalbinayak Branch,Mr. Sujan Kumar Bista,BKT,+977-1-6620120 6620220,Kamalbinayak Bhaktapur,0,10000
2082.03.03,Ashadh 2083,Bagmati Pradesh,Bhaktapur,Kaushaltar Branch,Mr. Amit Bhatta,KST,+977-1-5900087 5900089,Kaushaltar Madhyapur Thimi-03 Bhaktapur,3,2000
2082.04.18,Shrawan 2083,Bagmati Pradesh,Bhaktapur,Nagarkot Branch,Mr. Yogendra Raj Haluwai,NGK,+977-1-6680226 6680227,Bhaktapur Changunarayan Municipality-06,3,2000
2082.01.17,Baishakh 2083,Bagmati Pradesh,Bhaktapur,Naya Thimi Branch,Mr. Subash Khadka,THM,+977-1-5639612 5639639 9851001957,Naya Thimi Bhaktapur,1,9000
2082.06.10,Kartik 2082,Bagmati Pradesh,Kathmandu,Kathmandu Main Branch,Ms. Priya Sharma,KTM,+977-1-4200100 4200101,New Road Kathmandu,12,50000
2082.07.15,Mangsir 2082,Bagmati Pradesh,Kathmandu,Thamel Branch,Mr. Rajesh Karan,THM,+977-1-4700200 4700201,Thamel Kathmandu,8,35000
2082.02.20,Magh 2083,Bagmati Pradesh,Lalitpur,Lalitpur Downtown,Ms. Anita Poudel,LLP,+977-1-5400150,Pulchowk Lalitpur,5,25000
2082.04.05,Shrawan 2083,Gandaki Pradesh,Pokhara,Pokhara Central,Mr. Deepak Sharma,PKR,+977-61-300200,Lakeside Pokhara,10,45000
2082.05.12,Bhadra 2083,Gandaki Pradesh,Kaski,Kaski Branch,Mr. Hari Bahadur,KSK,+977-61-420300,Damauli Kaski,4,18000
2082.03.25,Ashadh 2083,Gandaki Pradesh,Tanahun,Tanahun Branch,Ms. Sunita Rana,TNH,+977-65-510100,Bhimad Tanahun,2,12000
2082.06.20,Kartik 2082,Lumbini Pradesh,Rupandehi,Rupandehi Main,Mr. Arun Singh,RPD,+977-71-600250,Butwal Rupandehi,7,32000
2082.07.10,Mangsir 2082,Lumbini Pradesh,Kapilvastu,Kapilvastu Branch,Ms. Deepa Adhikari,KPL,+977-73-510150,Tansen Kapilvastu,3,15000
2082.02.14,Magh 2083,Karnali Pradesh,Surkhet,Surkhet Branch,Mr. Vikram Thapa,SRK,+977-81-600300,Birendranagar Surkhet,6,28000
2082.04.08,Shrawan 2083,Karnali Pradesh,Dang,Dang Branch,Mr. Mohan Yadav,DNG,+977-82-510200,Ghorahi Dang,4,20000
2082.05.30,Bhadra 2083,Sudurpashchim Pradesh,Doti,Doti Branch,Ms. Kanchan Pant,DTI,+977-94-600150,Dipayal Doti,2,10000
2082.03.18,Ashadh 2083,Sudurpashchim Pradesh,Baitadi,Baitadi Branch,Mr. Sanjay Malik,BID,+977-96-510100,Dhulikhel Baitadi,3,14000
2082.06.05,Kartik 2082,Bagmati Pradesh,Bhaktapur,Bhaktapur Extension,Mr. Nitin Kumar,BKE,+977-1-6610150,Thimi Bhaktapur,5,22000
2082.07.22,Mangsir 2082,Gandaki Pradesh,Pokhara,Pokhara North,Ms. Rima Sharma,PKN,+977-61-310300,Chipledhunga Pokhara,6,28000
2082.02.28,Magh 2083,Lumbini Pradesh,Rupandehi,Rupandehi South,Mr. Balendra Singh,RPS,+977-71-610250,Gaidakot Rupandehi,4,18000
2082.04.12,Shrawan 2083,Karnali Pradesh,Surkhet,Surkhet North,Ms. Pallavi Negi,SRN,+977-81-610300,Lekhnath Surkhet,5,24000
